token	lemma	POS	morph	treated
porra	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	porra
tenir	tenir1	VERinf	MORPH=empty	tenir
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
que	que4	CONsub	MORPH=empty	que
tost	tost1	ADVgen	DEGRE=-	tost
puist	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	puist
a	a3	PRE	MORPH=empty	a
fin	fin2	NOMcom	NOMB.=s|GENRE=f|CAS=r	fin
venir	venir	VERinf	MORPH=empty	venir
.	.	PONfrt	MORPH=empty	.
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
les	le	DETdef	NOMB.=p|GENRE=f|CAS=r	les
estoires	estoire1	NOMcom	NOMB.=p|GENRE=f|CAS=r	estoires
d'	de	PRE	MORPH=empty	d
Engleterre	Engleterre	NOMpro	NOMB.=s|GENRE=f|CAS=r	Engleterre
Vauroit	voloir	VERcjg	MODE=con|PERS.=3|NOMB.=s	Vauroit
bien	bien1	ADVgen	DEGRE=p	bien
cerkier	croire	VERinf	NOMB.=s	cerkier
et	et	CONcoo	MORPH=empty	et
enquerre	enquerre	VERinf	MORPH=empty	enquerre
,	,	PONfbl	MORPH=empty	,
Une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	Une
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
moult	mout	ADVgen	DEGRE=-	moult
bien	bien1	ADVgen	DEGRE=p	bien
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
a	a3	PRE	MORPH=empty	a
croire	croire	VERinf	MORPH=empty	croire
,	,	PONfbl	MORPH=empty	,
Por	por2	PRE	MORPH=empty	Por
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	çou
que	que4	CONsub	NOMB.=s	que
plaisans	plaisant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	plaisans
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
et	et	CONcoo	MORPH=empty	et
voire	voir	ADJqua	NOMB.=s|GENRE=m|DEGRE=-	voire
,	,	PONfbl	MORPH=empty	,
On	on	PROind	NOMB.=s|GENRE=n|CAS=n	On
troveroit	trover	VERcjg	MODE=con|PERS.=3|NOMB.=s	troveroit
a	a3	PRE	MORPH=empty	a
Saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	Saint
Esmoing	Amiens	NOMpro	NOMB.=s|GENRE=m|CAS=r	Esmoing
;	;	PONfbl	MORPH=empty	;
Se	se	CONsub	MORPH=empty	Se
nus	nos1	PROind	NOMB.=s|GENRE=m|CAS=n	nus
en	en2	PROadv	MORPH=empty	en
demande	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	demande
tesmoing	tesmoin	NOMcom	MODE=ind|NOMB.=s|GENRE=m|CAS=r	tesmoing
,	,	PONfbl	MORPH=empty	,
La	là	ADVgen	GENRE=f|DEGRE=-	La
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
voise	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	voise
querre	querre	VERinf	MORPH=empty	querre
s'	se	CONsub	MORPH=empty	s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
veut	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	veut
.	.	PONfrt	MORPH=empty	.
CRESTIIENS	crestiien	NOMcom	NOMB.=s|GENRE=m|CAS=n	CRESTIIENS
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
dire	dire	VERinf	MORPH=empty	dire
seut	soloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	seut
,	,	PONfbl	MORPH=empty	,
K'	Charles	CONsub	NOMB.=s	K
en	en1	PRE	MORPH=empty	en
Engleterre	Engleterre	NOMpro	NOMB.=s|GENRE=f|CAS=r	Engleterre
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
ja	ja	ADVgen	DEGRE=-	ja
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
moult	mout	ADVgen	DEGRE=-	moult
ama	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ama
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Dieu
et	et	CONcoo	MORPH=empty	et
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
loi	loi3	NOMcom	NOMB.=s|GENRE=f|CAS=r	loi
Et	et	CONcoo	MORPH=empty	Et
moult	mout	ADVgen	DEGRE=-	moult
honora	onorer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	honora
Sainte	saint	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	Sainte
Eglise	eglise	NOMcom	NOMB.=s|GENRE=f|CAS=r	Eglise
:	:	PONfbl	MORPH=empty	:
Cascon	chascun	DETind	NOMB.=s|GENRE=m|CAS=r	Cascon
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jor
ooit	öir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	ooit
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
servise	servise	NOMcom	NOMB.=s|GENRE=m|CAS=r	servise
,	,	PONfbl	MORPH=empty	,
Qu'	que2	CONsub	MORPH=empty	Qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
en	en2	PROadv	MORPH=empty	en
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r	fait
voire	voir	ADJqua	DEGRE=p	voire
promesse	promesse	NOMcom	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	promesse
;	;	PONfbl	MORPH=empty	;
Onques	onque	ADVgen	DEGRE=-	Onques
,	,	PONfbl	MORPH=empty	,
ne	ne2	CONcoo	MORPH=empty	ne
matines	matines	NOMcom	NOMB.=s|GENRE=f|CAS=r	matines
ne	ne2	CONcoo	MORPH=empty	ne
messe	messe	NOMcom	NOMB.=s|GENRE=f	messe
Ne	ne1	ADVneg	MORPH=empty	Ne
perdoit	perdre	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	perdoit
tant	tant	ADVgen	DEGRE=-	tant
com	come1	CONsub	MORPH=empty	com
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
eüst	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	eüst
Santé	santé	NOMcom	NOMB.=s|GENRE=f|CAS=r	Santé
et	et	CONcoo	MORPH=empty	et
k'	que4	CONsub	GENRE=m	k
aler	aler	VERinf	MORPH=empty	aler
i	i2	PROadv	MORPH=empty	i
peüst	pöoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	peüst
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
plains	plein	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	plains
de	de	PRE	MORPH=empty	de
carité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r	carité
;	;	PONfbl	MORPH=empty	;
Moult	mout	ADVgen	DEGRE=-	Moult
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
en	en1	PRE	MORPH=empty	en
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
d'	de	PRE	MORPH=empty	d
umilité	umelité	NOMcom	NOMB.=s|GENRE=f|CAS=r	umilité
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
moult	mout	ADVgen	DEGRE=-	moult
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	tint
en	en1	PRE	MORPH=empty	en
pais	pais	NOMcom	NOMB.=s|GENRE=f|CAS=r	pais
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
roiaume	roiaume	NOMcom	NOMB.=s|GENRE=m|CAS=r	roiaume
.	.	PONfrt	MORPH=empty	.
On	on	PROind	NOMB.=s|GENRE=n|CAS=n	On
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
apele	apeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	apele
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
Guillaume	Guilaume	NOMpro	NOMB.=s|GENRE=m|CAS=r	Guillaume
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
feme	feme	NOMcom	NOMB.=s|GENRE=f|CAS=r	feme
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	bele
et	et	CONcoo	MORPH=empty	et
sage	sage	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	sage
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
si	si	ADVgen	DEGRE=-	si
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
de	de	PRE	MORPH=empty	de
roial	roial2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	roial
lignage	lignage	NOMcom	NOMB.=s|GENRE=m|CAS=r	lignage
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
estoire	estoire1	NOMcom	NOMB.=s|GENRE=m|CAS=n	estoire
plus	plus	ADVgen	DEGRE=-	plus
ne	ne1	ADVneg	MORPH=empty	ne
raconte	raconter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	raconte
,	,	PONfbl	MORPH=empty	,
Ne	ne2	CONcoo	MORPH=empty	Ne
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
n'	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
mentir	mentir	VERinf	MORPH=empty	mentir
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
roïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	roïne
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	non
Gratiiene	Gratinain	NOMpro	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	Gratiiene
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
moult	mout	ADVgen	DEGRE=-	moult
boine	bon	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	boine
crestiiene	crestiien	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	crestiiene
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
Guillaumes	Guilaume	NOMpro	NOMB.=s|GENRE=m|CAS=n	Guillaumes
moult	mout	ADVgen	DEGRE=-	moult
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ama	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ama
,	,	PONfbl	MORPH=empty	,
Tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r	Tous
jors	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jors
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
clama	clamer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	clama
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
ama	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ama
moult	mout	ADVgen	DEGRE=-	moult
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
signor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	signor
D'	de	PRE	MORPH=empty	D
autele	autel1	DETind	NOMB.=s|GENRE=f|CAS=r	autele
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amor
u	o3	CONcoo	MORPH=empty	u
de	de	PRE	MORPH=empty	de
grignor	graignor	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=c	grignor
;	;	PONfbl	MORPH=empty	;
Se	se	CONsub	MORPH=empty	Se
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
ama	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ama
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Dieu
et	et	CONcoo	MORPH=empty	et
crut	croire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	crut
,	,	PONfbl	MORPH=empty	,
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
roïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=n	roïne
plus	plus	ADVgen	DEGRE=-	plus
ne	ne1	ADVneg	MORPH=empty	ne
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
en	en2	PROadv	MORPH=empty	en
dut	devoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dut
;	;	PONfbl	MORPH=empty	;
Se	se	CONsub	MORPH=empty	Se
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
de	de	PRE	MORPH=empty	de
carité	charité	NOMcom	NOMB.=s|GENRE=f|CAS=r	carité
plains	plein	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	plains
,	,	PONfbl	MORPH=empty	,
En	en1	PRE	MORPH=empty	En
celi	cel	PROdem	NOMB.=s|GENRE=f|CAS=r	celi
n'	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
mie	mie	ADVneg	MORPH=empty	mie
mains	moins	ADVgen	GENRE=f|DEGRE=c	mains
;	;	PONfbl	MORPH=empty	;
S'	se	CONsub	MORPH=empty	S
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
humelité	umelité	NOMcom	NOMB.=s|GENRE=f|CAS=r	humelité
en	en1	PRE	MORPH=empty	en
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
,	,	PONfbl	MORPH=empty	,
En	en1	PRE	MORPH=empty	En
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r	estoire
trovai	trover	VERcjg	MODE=ind|TEMPS=psp|NOMB.=s	trovai
et	et	CONcoo	MORPH=empty	et
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lui
K'	que4	CONsub	GENRE=m|CAS=n	K
autant	autant	ADVgen	DEGRE=-	autant
en	en2	PROadv	MORPH=empty	en
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
en	en1	PRE	MORPH=empty	en
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
roïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	roïne
.	.	PONfrt	MORPH=empty	.
Onques	onque	ADVgen	DEGRE=-	Onques
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
ne	ne1	ADVneg	MORPH=empty	ne
perdi	perdre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	perdi
matine	matines	NOMcom	NOMB.=s|GENRE=f|CAS=r	matine
Tant	tant	ADVgen	DEGRE=-	Tant
com	come1	CONsub	MORPH=empty	com
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
prosperité	prospreté	NOMcom	NOMB.=s|GENRE=f|CAS=r	prosperité
;	;	PONfbl	MORPH=empty	;
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
roïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	roïne
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
verité	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r	verité
,	,	PONfbl	MORPH=empty	,
I	1	PROadv	MORPH=empty	1
rala	raler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	rala
tant	tant	ADVgen	DEGRE=-	tant
com	come1	CONsub	MORPH=empty	com
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
pot	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	pot
:	:	PONfbl	MORPH=empty	:
En	en1	PRE	MORPH=empty	En
ces	ce2	DETdem	NOMB.=p|GENRE=f|CAS=r	ces
deus	deus	ADJcar	NOMB.=p|CAS=r	deus
gens	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=r	gens
moult	mout	ADVgen	DEGRE=-	moult
de	de	PRE	MORPH=empty	de
bien	bien1	NOMcom	GENRE=m|CAS=r|DEGRE=p	bien
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
.	.	PONfrt	MORPH=empty	.
Sis	si+il	DETpos	NOMB.=p|GENRE=m|CAS=r	Sis
ans	an	NOMcom	NOMB.=p|GENRE=m|CAS=r	ans
entr'	entre	PRE	MORPH=empty	entr
aus	il	PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r	aus
compaignie	compagnie	NOMcom	NOMB.=s|GENRE=f|CAS=r	compaignie
orent	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	orent
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r	nul
enfant	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=r	enfant
avoir	avoir	VERinf	MORPH=empty	avoir
ne	ne1	ADVneg	MORPH=empty	ne
porent	pöoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	porent
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
roïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	roïne
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
siesme	siste	PROord	NOMB.=s|GENRE=m|CAS=r	siesme
conchut	conchiier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s|GENRE=m|CAS=r	conchut
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
quant	cant1	CONsub	MORPH=empty	quant
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
aperçut	apercevoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	aperçut
,	,	PONfbl	MORPH=empty	,
Servir	servir	VERinf	MORPH=empty	Servir
et	et	CONcoo	MORPH=empty	et
bien	bien1	ADVgen	DEGRE=p	bien
garder	garder	VERinf	MORPH=empty	garder
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
.	.	PONfrt	MORPH=empty	.
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	Il
meïsmes	mëisme	ADJind	NOMB.=s|GENRE=m|CAS=n	meïsmes
garde	garder	VERcjg	NOMB.=s	garde
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	prist
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
riens	rien	NOMcom	NOMB.=s|GENRE=f|CAS=n	riens
nule	nul	ADJind	NOMB.=s|GENRE=f|CAS=n	nule
n'	ne1	ADVneg	MORPH=empty	n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
si	si	ADVgen	DEGRE=-	si
ciere	chiere	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	ciere
.	.	PONfrt	MORPH=empty	.
Tant	tant	ADVgen	DEGRE=-	Tant
com	come1	CONsub	MORPH=empty	com
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
si	si	ADVgen	DEGRE=-	si
legiere	legier2	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	legiere
Que	que4	CONsub	MORPH=empty	Que
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	ses
fruis	fruit	NOMcom	NOMB.=s|GENRE=m|CAS=n	fruis
trop	trop	ADVgen	DEGRE=-	trop
ne	ne1	ADVneg	MORPH=empty	ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
greva	grever	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	greva
,	,	PONfbl	MORPH=empty	,
A	a3	PRE	MORPH=empty	A
matines	matines	NOMcom	NOMB.=p|GENRE=f|CAS=r	matines
adiés	adis	VERppe	NOMB.=p|CAS=r	adiés
ala	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ala
A	a3	PRE	MORPH=empty	A
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
eure	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=r	eure
que	que4	PROrel	GENRE=f|CAS=r	que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
levoit	lever	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	levoit
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
com	come1	CONsub	MORPH=empty	com
acoustumé	acostumer	VERppe	NOMB.=s|GENRE=m|CAS=n	acoustumé
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
.	.	PONfrt	MORPH=empty	.
Mais	mais1	CONcoo	MORPH=empty	Mais
quant	cant1	CONsub	MORPH=empty	quant
