token	lemma	POS	morph	treated
Lessiez	laissier	VERcjg	MODE=imp|PERS.=2|NOMB.=p	Lessiez
cel	cel	DETdem	NOMB.=s|GENRE=m|CAS=r	cel
escuier	escuier2	NOMcom	NOMB.=s|GENRE=m|CAS=r	escuier
,	,	PONfbl	MORPH=empty	,
biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	biau
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
.	.	PONfrt	MORPH=empty	.
Vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	Vos
ne	ne1	ADVneg	MORPH=empty	ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
orroiz	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	orroiz
ja	ja	ADVgen	DEGRE=-	ja
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rien
dire	dire	VERinf	MORPH=empty	dire
ou	o3	PROrel	MORPH=empty	ou
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
doiez	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	doiez
enor	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r	enor
avoir	avoir	VERinf	MORPH=empty	avoir
.	.	PONfrt	MORPH=empty	.
Lessiez	laissier	VERcjg	MODE=imp|PERS.=2|NOMB.=p	Lessiez
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	le
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
feroiz	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	feroiz
savoir	savoir	VERinf	MORPH=empty	savoir
,	,	PONfbl	MORPH=empty	,
mes	mais1	CONcoo	MORPH=empty	mes
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
roncin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r	roncin
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
an	en2	PROadv	MORPH=empty	an
amenez	amener	VERcjg	MODE=imp|PERS.=2|NOMB.=p	amenez
et	et	CONcoo	MORPH=empty	et
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=r	pucele
prenez	prendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p	prenez
que	que4	CONsub	CAS=r	que
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
veez	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	veez
ci	ci	ADVgen	DEGRE=-	ci
delez	dalez	PRE	MORPH=empty	delez
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	moi
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
restraigniez	restreindre	VERcjg	MODE=ind|PERS.=2|NOMB.=p	restraigniez
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
palefroi	palefroi	NOMcom	NOMB.=s|GENRE=m|CAS=r	palefroi
,	,	PONfbl	MORPH=empty	,
puis	puis	ADVgen	DEGRE=-	puis
si	si	ADVgen	DEGRE=-	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
aidiez	aidier	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p	aidiez
a	a3	PRE	MORPH=empty	a
monter	monter	VERinf	MORPH=empty	monter
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
ne	ne1	ADVneg	MORPH=empty	ne
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
ci	ci	ADVgen	DEGRE=-	ci
plus	plus	ADVgen	DEGRE=-	plus
ester	ester	VERinf	MORPH=empty	ester
,	,	PONfbl	MORPH=empty	,
tant	tant	ADVgen	DEGRE=-	tant
que	que4	CONsub	MORPH=empty	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
soie	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	soie
anhuliez	enoliier	VERppe	NOMB.=s|GENRE=m|CAS=n	anhuliez
et	et	CONcoo	MORPH=empty	et
confés	confès	ADJqua	NOMB.=p|GENRE=m|CAS=n	confés
et	et	CONcoo	MORPH=empty	et
comeniez	comuniier	VERppe	NOMB.=p|GENRE=m|CAS=n	comeniez
;	;	PONfbl	MORPH=empty	;
einz	ainz	ADVgen	DEGRE=-	einz
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
an	en2	PROadv	MORPH=empty	an
irai	aler	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	irai
,	,	PONfbl	MORPH=empty	,
se	se	CONsub	MORPH=empty	se
j'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	j
onques	onque	ADVgen	DEGRE=-	onques
puis	pöoir	ADVgen	TEMPS=pst|PERS.=1|DEGRE=-	puis
,	,	PONfbl	MORPH=empty	,
sor	sor2	PRE	MORPH=empty	sor
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roncin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r	roncin
et	et	CONcoo	MORPH=empty	et
querrai	querre	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	querrai
puis	puis	ADVgen	DEGRE=-	puis
ou	o3	PROrel	MORPH=empty	ou
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
porrai	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	porrai
confesser	confesser	VERinf	MORPH=empty	confesser
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
ne	ne1	ADVneg	MORPH=empty	ne
quier	querre	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	quier
ja	ja	ADVgen	DEGRE=-	ja
mes	mais1	ADVgen	DEGRE=-	mes
cesser	cesser	VERinf	MORPH=empty	cesser
.	.	PONfrt	MORPH=empty	.
"	"	PONfbl	MORPH=empty	"
Tot	tot	ADVgen	DEGRE=-	Tot
maintenant	maintenant	ADVgen	DEGRE=-	maintenant
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roncin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r	roncin
prant	prendre	VERcjg	MODE=ind|PERS.=3|NOMB.=s	prant
messire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	messire
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	MORPH=empty	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
tant	tendre1	ADVgen	PERS.=3|DEGRE=-	tant
,	,	PONfbl	MORPH=empty	,
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r	chevalier
,	,	PONfbl	MORPH=empty	,
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=i	cui
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
veüe	veüe	NOMcom	NOMB.=s|GENRE=f|CAS=n	veüe
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
resclarcie	resclarcir	VERppe	NOMB.=s|GENRE=f|CAS=n	resclarcie
et	et	CONcoo	MORPH=empty	et
revenue	revenir	VERppe	NOMB.=s|GENRE=f|CAS=n	revenue
,	,	PONfbl	MORPH=empty	,
s'	si	ADVgen	DEGRE=-	s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
monseignor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	monseignor
Gauvain	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=r	Gauvain
veü	vëoir	VERppe	NOMB.=s|GENRE=m|CAS=r	veü
,	,	PONfbl	MORPH=empty	,
lors	lors	ADVgen	DEGRE=-	lors
primes	prim	NOMcom	CAS=n	primes
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
reconeü	reconoistre	VERppe	NOMB.=s|GENRE=m|CAS=r	reconeü
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
messire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	messire
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
prise	prendre	VERppe	NOMB.=s|GENRE=f|CAS=r	prise
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
dameisele	damoisele	NOMcom	NOMB.=s|GENRE=f|CAS=r	dameisele
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=r	mise
desor	desor	PRE	MORPH=empty	desor
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
palefroi	palefroi	NOMcom	NOMB.=s|GENRE=m|CAS=r	palefroi
norrois	norois	ADJqua	MODE=con|NOMB.=s|GENRE=m|CAS=r	norrois
,	,	PONfbl	MORPH=empty	,
come	come1	CONsub	MORPH=empty	come
debonaire	debonaire	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	debonaire
et	et	CONcoo	MORPH=empty	et
cortois	cortois	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	cortois
.	.	PONfrt	MORPH=empty	.
Andemantres	endementre	ADVgen	NOMB.=p|GENRE=m|CAS=n	Andemantres
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
i	i2	PROadv	MORPH=empty	i
assist	asseoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	assist
,	,	PONfbl	MORPH=empty	,
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n	chevaliers
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r	cheval
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	prist
et	et	CONcoo	MORPH=empty	et
monta	monter	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	monta
sus	sus	ADVgen	MORPH=empty	sus
,	,	PONfbl	MORPH=empty	,
sel	si+il	ADVgen.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	sel
comança	comencier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	comança
a	a3	PRE	MORPH=empty	a
porsaillir	porsalir	VERinf	MORPH=empty	porsaillir
de	de	PRE	MORPH=empty	de
ça	ça	ADVgen	DEGRE=-	ça
an	en1	PRE	MORPH=empty	an
ça	ça	ADVgen	DEGRE=-	ça
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
messire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	messire
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
esgarde	esgarder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	esgarde
,	,	PONfbl	MORPH=empty	,
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
galopoit	galoper	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	galopoit
parmi	parmi	PRE	MORPH=empty	parmi
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
angarde	angarde	NOMcom	TEMPS=pst|NOMB.=s|GENRE=f|CAS=r	angarde
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
mervoille	merveillier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	mervoille
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
rist	rire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	rist
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
an	en1	PRE	MORPH=empty	an
riant	rire	VERppa	MORPH=empty	riant
itant	itant	ADVgen	DEGRE=-	itant
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
chevaliers	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=n	chevaliers
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r	foi
,	,	PONfbl	MORPH=empty	,
c'	ce1	PROdem	NOMB.=s|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
granz	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	granz
folie	folie2	NOMcom	NOMB.=s|GENRE=f|CAS=n	folie
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
,	,	PONfbl	MORPH=empty	,
quant	cant1	CONsub	MORPH=empty	quant
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r	cheval
porsailliez	porsalir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	porsailliez
.	.	PONfrt	MORPH=empty	.
Descendez	descendre	VERcjg	MODE=imp|PERS.=2|NOMB.=p	Descendez
jus	jus1	ADVgen	DEGRE=-	jus
,	,	PONfbl	MORPH=empty	,
sel	si+il	ADVgen.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	sel
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
bailliez	baillier	VERcjg	MODE=imp|PERS.=2|NOMB.=p	bailliez
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
tost	tost1	ADVgen	DEGRE=p	tost
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
an	en2	PROadv	MORPH=empty	an
porroiz	pöoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	porroiz
grever	grever	VERinf	MORPH=empty	grever
et	et	CONcoo	MORPH=empty	et
voz	vostre	DETpos	PERS.=2|NOMB.=p|GENRE=f|CAS=r	voz
plaies	plaie1	NOMcom	NOMB.=p|GENRE=f|CAS=r	plaies
fere	faire	VERinf	MORPH=empty	fere
escrever	escrever	VERinf	MORPH=empty	escrever
.	.	PONfrt	MORPH=empty	.
"	"	PONfbl	MORPH=empty	"
Et	et	CONcoo	MORPH=empty	Et
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
respont	respondre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	respont
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
,	,	PONfbl	MORPH=empty	,
tes	taire	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	tes
t'	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	t
an	en2	PROadv	MORPH=empty	an
.	.	PONfrt	MORPH=empty	.
pran	prendre	VERcjg	MODE=ind|PERS.=2|NOMB.=s|GENRE=m	pran
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roncin	roncin	NOMcom	NOMB.=s|GENRE=m|CAS=r	roncin
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
feras	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=s	feras
san	sans	NOMcom	NOMB.=s	san
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r	cheval
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s	as
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
failli	falir	VERppe	NOMB.=s|GENRE=m|CAS=n	failli
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	CAS=r	que
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
a	a3	PRE	MORPH=empty	a
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
oés	ues	NOMcom	NOMB.=s|GENRE=m|CAS=r	oés
seisi	saisir	VERppe	NOMB.=s	seisi
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
an	en2	PROadv	MORPH=empty	an
manrai	mener	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	manrai
come	come1	CONsub	MORPH=empty	come
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
mien	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mien
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Avoi	avoi	VERcjg	MODE=ind|PERS.=1|NOMB.=s	Avoi
!	!	PONfrt	MORPH=empty	!
ge	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ge
ving	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	ving
ça	ça	ADVgen	DEGRE=-	ça
por	por2	PRE	MORPH=empty	por
ton	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r	ton
bien	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=r	bien
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
feroies	faire	VERcjg	MODE=con|PERS.=2|NOMB.=s	feroies
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=r	tel
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mal
!	!	PONfrt	MORPH=empty	!
N'	ne1	ADVneg	MORPH=empty	N
an	en2	PROadv	NOMB.=s	an
mener	mener	VERinf	MORPH=empty	mener
mie	mie	ADVneg	MORPH=empty	mie
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r	cheval
,	,	PONfbl	MORPH=empty	,
que	que4	PROrel	NOMB.=s|GENRE=m	que
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
feroies	faire	VERcjg	MODE=con|PERS.=2|NOMB.=s	feroies
traïson	träison	NOMcom	NOMB.=s|GENRE=f|CAS=r	traïson
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
itel	itel	DETind	NOMB.=s|GENRE=f|CAS=r	itel
mesprison	mesprison	NOMcom	NOMB.=s|GENRE=f|CAS=r	mesprison
,	,	PONfbl	MORPH=empty	,
que	que4	PROrel	NOMB.=s|CAS=r	que
qu'	que4	CONsub	NOMB.=s|GENRE=n|CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
an	en2	PROadv	MORPH=empty	an
deüst	devoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	deüst
avenir	avenir	VERinf	MORPH=empty	avenir
,	,	PONfbl	MORPH=empty	,
voldroie	voloir	VERcjg	MODE=con|PERS.=1|NOMB.=s	voldroie
ores	or4	ADVgen	DEGRE=-	ores
ton	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r	ton
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
tenir	tenir1	VERinf	MORPH=empty	tenir
de	de	PRE	MORPH=empty	de
ton	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r	ton
vantre	ventre1	NOMcom	NOMB.=s|GENRE=m|CAS=r	vantre
an	en1	PRE	MORPH=empty	an
mes	mon1	DETpos	NOMB.=p|GENRE=m|CAS=r	mes
.	.	PONfrt	MORPH=empty	.
ii	2	PROcar	MORPH=empty	ii
.	.	PONfrt	MORPH=empty	.
